K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,0.1,0.13,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02423,0.024,0.02494,0.02524,0.02507,0.02537,0.02529,0.03857,0.02514,0.03864,0.09284508622271843,0.09442712491752026,0.09366088461194111,0.09781333952917298,0.09366088461194111,0.09781333952917298,0.097813339529173,0.09091792694886634,0.097813339529173,0.09091792694886634,-0.0012577162478869463,-0.0017226951272774952,-2.2558884489656578e-4,-2.6482671961985883e-4,-2.2558884489656543e-4,-2.648267196198439e-4,-2.648267196198566e-4,0.01750290778586431,-2.648267196198566e-4,0.01750290778586431
1,0,1,0.25,0,0.1,0.14,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02426,0.02346,0.02562,0.02458,0.0254,0.02463,0.02436,0.03971,0.02462,0.03974,0.09258844302536634,0.09408865226779875,0.09340006999697402,0.09735122729778069,0.09340006999697402,0.09735122729778069,0.0973512272977807,0.09078150474984317,0.0973512272977807,0.09078150474984317,-9.709662267438007e-4,-0.001602900375390517,3.8260393907983405e-4,2.9218280370229784e-4,3.8260393907983453e-4,2.921828037023128e-4,2.921828037023001e-4,0.01819829770194001,2.921828037023001e-4,0.01819829770194001
1,0,1,0.25,0,0.1,0.15,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02465,0.02407,0.02542,0.02517,0.02587,0.02525,0.0255,0.03868,0.02513,0.03899,0.09299700193289268,0.09451864372113498,0.09374894592219558,0.09774474739165974,0.09374894592219558,0.09774474739165974,0.09774474739165974,0.09103951269842767,0.09774474739165974,0.09103951269842767,-0.001686666878756771,-0.0023595421351414268,-5.084054756353356e-5,-9.789627231461216e-5,-5.084054756353339e-5,-9.789627231459696e-5,-9.789627231460993e-5,0.01787080794388333,-9.789627231460993e-5,0.01787080794388333
1,0,1,0.25,0,0.1,0.16,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02313,0.0231,0.02442,0.02541,0.02448,0.0254,0.02547,0.03819,0.02537,0.03862,0.09266882178325248,0.09419466876784191,0.09352661409292834,0.09757324289225172,0.09352661409292834,0.09757324289225171,0.09757324289225172,0.09059891896905888,0.09757324289225172,0.09059891896905888,-0.0022978999303271287,-0.0031869157383518087,-2.3037799875620806e-4,-2.7691796721305645e-4,-2.303779987562081e-4,-2.769179672130415e-4,-2.769179672130543e-4,0.017652858781879298,-2.769179672130543e-4,0.017652858781879298
1,0,1,0.25,0,0.1,0.17,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.0237,0.02339,0.02514,0.02525,0.0251,0.02531,0.02525,0.03958,0.02541,0.04007,0.09314781224357181,0.09469953464659935,0.09396062317695077,0.09790871594007315,0.09396062317695077,0.09790871594007314,0.09790871594007317,0.09134758720837224,0.09790871594007317,0.09134758720837224,-0.0018887845594330298,-0.0029350064366976424,4.8146304062105763e-4,2.789568623565646e-4,4.8146304062105807e-4,2.789568623565801e-4,2.7895686235656725e-4,0.01839805403562186,2.7895686235656725e-4,0.01839805403562186
1,0,1,0.25,0,0.1,0.18,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02293,0.0224,0.02454,0.02431,0.02463,0.0244,0.02457,0.03885,0.0245,0.03918,0.09264687979678794,0.09422423952329581,0.09342855745202187,0.09743440890985672,0.09342855745202186,0.0974344089098567,0.09743440890985672,0.09066598630987456,0.09743440890985672,0.09066598630987456,-0.0028386067224478624,-0.004019360680545667,-1.1685589937094059e-4,-2.030827148317544e-4,-1.1685589937094038e-4,-2.0308271483173928e-4,-2.0308271483175208e-4,0.017806426393228745,-2.0308271483175208e-4,0.017806426393228745
1,0,1,0.25,0,0.1,0.19,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02343,0.0228,0.02545,0.02527,0.02538,0.02522,0.02524,0.03932,0.02557,0.03941,0.09299109566350292,0.09457024831600017,0.09375023601576528,0.09779541727138329,0.09375023601576528,0.09779541727138326,0.09779541727138329,0.09098301477483368,0.09779541727138329,0.09098301477483368,-0.0033397430843054863,-0.004555877479808218,-3.26981876564807e-4,-2.8845761956378444e-4,-3.2698187656480653e-4,-2.8845761956376904e-4,-2.8845761956378205e-4,0.017711181033416356,-2.8845761956378205e-4,0.017711181033416356
1,0,1,0.25,0,0.1,0.2,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02354,0.02271,0.02548,0.02571,0.02563,0.02576,0.02572,0.04012,0.02572,0.04008,0.09289546193626881,0.09446834719642185,0.09361387564473665,0.09766792999466857,0.09361387564473664,0.09766792999466856,0.09766792999466857,0.0909340569538322,0.09766792999466857,0.0909340569538322,-0.003351205894352373,-0.004762770132746569,4.33664655242646e-5,-1.943531871525184e-5,4.336646552426413e-5,-1.9435318715236514e-5,-1.9435318715249226e-5,0.01783379666230653,-1.9435318715249226e-5,0.01783379666230653
1,0,1,0.25,0,0.1,0.21,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02284,0.02197,0.02543,0.02545,0.02537,0.02535,0.02549,0.03897,0.02544,0.03946,0.09274020239452796,0.09434438365578945,0.09349769076912746,0.09752534066454661,0.09349769076912746,0.09752534066454661,0.09752534066454661,0.09083681153860909,0.09752534066454661,0.09083681153860909,-0.003908102600683508,-0.0054467974106482695,-2.048213832047475e-4,-2.4494087656298325e-4,-2.0482138320474685e-4,-2.4494087656296774e-4,-2.4494087656298075e-4,0.01761544316286477,-2.4494087656298075e-4,0.01761544316286477
1,0,1,0.25,0,0.1,0.22,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02232,0.0216,0.02458,0.02467,0.02467,0.02467,0.02464,0.03934,0.02474,0.03942,0.09287681370050602,0.09437615831283827,0.09359324586180834,0.09749058194984583,0.09359324586180834,0.09749058194984583,0.09749058194984583,0.09110370026036328,0.09749058194984583,0.09110370026036328,-0.003819784002062344,-0.005503520007403671,1.9979941031443002e-4,1.3104559380052323e-4,1.9979941031443056e-4,1.3104559380053854e-4,1.3104559380052542e-4,0.018152291347544314,1.3104559380052542e-4,0.018152291347544314
1,0,1,0.25,0,0.1,0.23,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.0225,0.02179,0.02476,0.0251,0.02473,0.02514,0.02505,0.03896,0.02531,0.03938,0.09282420715050028,0.09443749905724584,0.0936192614103281,0.09770240373700559,0.0936192614103281,0.09770240373700557,0.09770240373700559,0.09073361737094773,0.09770240373700559,0.09073361737094773,-0.004738746498293629,-0.006527054670519126,-3.7874410931903655e-4,-3.473024809592597e-4,-3.7874410931903584e-4,-3.4730248095924413e-4,-3.473024809592572e-4,0.017510917421478537,-3.473024809592572e-4,0.017510917421478537
1,0,1,0.25,0,0.1,0.24,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02199,0.02048,0.02458,0.02472,0.02461,0.02475,0.0245,0.0388,0.02499,0.03889,0.0927163486127391,0.09425448614394448,0.09345696978672159,0.09736774921506101,0.09345696978672159,0.097367749215061,0.09736774921506101,0.09079259096420032,0.09736774921506101,0.09079259096420032,-0.00448379371391295,-0.006322540856185307,2.298162955078394e-4,4.261673186839818e-4,2.2981629550783991e-4,4.261673186839972e-4,4.261673186839844e-4,0.01826455115887487,4.261673186839844e-4,0.01826455115887487
1,0,1,0.25,0,0.1,0.25,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H0,1.5,0.02155,0.02054,0.02471,0.02397,0.02468,0.02407,0.02403,0.03825,0.02406,0.03864,0.09247057731892523,0.0942294723355771,0.09311222508156479,0.09712193791519319,0.09311222508156479,0.09712193791519318,0.09712193791519319,0.09053623176762964,0.09712193791519319,0.09053623176762964,-0.004945373321281951,-0.007060609367794942,1.734149618085747e-4,1.0366937117038729e-4,1.734149618085754e-4,1.0366937117040284e-4,1.0366937117039004e-4,0.017929785122558828,1.0366937117039004e-4,0.017929785122558828
