K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n01,n11,n02,n12,n22,n03,n23,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0.25,0.1,0.14,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76247,0.74639,0.75886,0.7229,0.75826,0.72306,0.72289,0.85169,0.72449,0.8532,0.09263522675064054,0.09419925138624559,0.0934599351756427,0.0974440502425594,0.09345993517564269,0.09744405024255938,0.0974440502425594,0.09057280921885615,0.0974440502425594,0.09057280921885615,-0.0016272190808033027,-0.0022784861123955192,-2.791583725010465e-4,-4.3288603749523354e-4,-2.7915837250105035e-4,-4.3288603749522345e-4,-4.328860374952265e-4,0.017710676578043157,-4.328860374952265e-4,0.017710676578043157
1,0,1,0.25,0.25,0.1,0.15,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76199,0.74633,0.76012,0.72532,0.76,0.72517,0.72502,0.85015,0.72686,0.85197,0.09253854075755724,0.09408936988606197,0.09330317571440357,0.09726263386418377,0.09330317571440357,0.09726263386418377,0.09726263386418378,0.09070415557350897,0.09726263386418378,0.09070415557350897,-0.0017742827004783997,-0.002525028111276129,3.105902126889365e-6,2.7909465866653146e-5,3.105902126885906e-6,2.790946586666319e-5,2.790946586666061e-5,0.01783680847369748,2.790946586666061e-5,0.01783680847369748
1,0,1,0.25,0.25,0.1,0.16,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.76185,0.74537,0.76082,0.72461,0.76038,0.72438,0.72402,0.85169,0.72552,0.85295,0.09255030484844097,0.09411571493030253,0.09335777955784688,0.09734537603750358,0.09335777955784688,0.09734537603750357,0.09734537603750358,0.09057916066874498,0.09734537603750358,0.09057916066874498,-0.002169540399433481,-0.002960887015884873,-1.996103591521664e-4,-1.4460234723001294e-4,-1.9961035915217016e-4,-1.4460234723000294e-4,-1.4460234723000565e-4,0.0177613033079826,-1.4460234723000565e-4,0.0177613033079826
1,0,1,0.25,0.25,0.1,0.17,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.75987,0.74186,0.7611,0.72436,0.76084,0.72384,0.72379,0.8514,0.72618,0.85277,0.09270764126607411,0.09427031707199299,0.09353018249178935,0.09759341866564608,0.09353018249178935,0.09759341866564607,0.09759341866564608,0.09061416697562795,0.09759341866564608,0.09061416697562795,-0.0026242384105813793,-0.0036495050205293113,-2.509629491211281e-4,-3.3149906253767514e-4,-2.5096294912113257e-4,-3.3149906253766533e-4,-3.314990625376679e-4,0.017643975868935447,-3.314990625376679e-4,0.017643975868935447
1,0,1,0.25,0.25,0.1,0.18,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.75684,0.73925,0.75893,0.72429,0.75844,0.72387,0.72349,0.8486,0.72576,0.85018,0.09304948278637476,0.09459226378045951,0.09377158784023547,0.09759150189696483,0.09377158784023547,0.09759150189696482,0.09759150189696483,0.0909738480318425,0.09759150189696483,0.0909738480318425,-0.003171907602470719,-0.004263935020494444,-4.688198612423802e-4,-4.0611886940832893e-4,-4.688198612423837e-4,-4.0611886940831906e-4,-4.061188694083217e-4,0.01737356329135689,-4.061188694083217e-4,0.01737356329135689
1,0,1,0.25,0.25,0.1,0.19,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.75894,0.73982,0.76117,0.72572,0.76089,0.72539,0.72476,0.85189,0.7265,0.85368,0.09263661860520063,0.09414643806881341,0.09340895685206455,0.09729517702146812,0.09340895685206455,0.09729517702146809,0.09729517702146812,0.09077318277440202,0.09729517702146812,0.09077318277440202,-0.003092953626014567,-0.00440955818267485,-7.834369289838432e-5,1.2535162191480344e-5,-7.834369289838841e-5,1.2535162191490996e-5,1.2535162191487926e-5,0.017911979439462513,1.2535162191487926e-5,0.017911979439462513
1,0,1,0.25,0.25,0.1,0.2,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.75548,0.73656,0.75961,0.72425,0.75943,0.72388,0.72323,0.84989,0.72543,0.8518,0.0927234523605711,0.09439538399869303,0.09344385242835257,0.09756250593124226,0.09344385242835257,0.09756250593124224,0.09756250593124226,0.090814532213731,0.09756250593124226,0.090814532213731,-0.0035479361922764467,-0.005033916573029792,-1.7018785308697883e-4,-3.1654038339144514e-4,-1.7018785308698162e-4,-3.1654038339143435e-4,-3.1654038339143755e-4,0.017792003579865896,-3.1654038339143755e-4,0.017792003579865896
1,0,1,0.25,0.25,0.1,0.21,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.75673,0.73786,0.76131,0.72524,0.76113,0.72466,0.72428,0.85255,0.72688,0.85423,0.09256443721281826,0.0941485079262257,0.09337596402834376,0.09747648471482813,0.09337596402834375,0.0974764847148281,0.09747648471482813,0.09060999412128239,0.09747648471482813,0.09060999412128239,-0.0036847355335616963,-0.0052636275853205315,-5.596857630572753e-5,-2.2784185537338007e-4,-5.5968576305730375e-5,-2.2784185537336944e-4,-2.2784185537337248e-4,0.017925767109703738,-2.2784185537337248e-4,0.017925767109703738
1,0,1,0.25,0.25,0.1,0.22,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.75687,0.73857,0.76301,0.72819,0.76257,0.72787,0.72735,0.8513,0.72973,0.85349,0.09274333158381103,0.09439585185208653,0.09348692987642274,0.09746551698508156,0.09348692987642274,0.09746551698508156,0.09746551698508156,0.09100482517367106,0.09746551698508156,0.09100482517367106,-0.0034730366225631357,-0.00508963293185115,5.688224781533111e-4,7.284575942097356e-4,5.688224781533073e-4,7.284575942097455e-4,7.284575942097429e-4,0.01843015890327681,7.284575942097429e-4,0.01843015890327681
1,0,1,0.25,0.25,0.1,0.23,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.75403,0.73411,0.76148,0.7257,0.76083,0.72495,0.72451,0.85019,0.72636,0.85149,0.09279275568111552,0.09441446774880535,0.09352141517334711,0.09754187097580883,0.09352141517334711,0.09754187097580881,0.09754187097580883,0.0907869120400301,0.09754187097580883,0.0907869120400301,-0.004346017114587612,-0.006110172338875531,-2.052037243651945e-5,-2.744885624470984e-5,-2.0520372436523167e-5,-2.744885624469969e-5,-2.744885624470256e-5,0.01790974724291664,-2.744885624470256e-5,0.01790974724291664
1,0,1,0.25,0.25,0.1,0.24,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.75158,0.73119,0.76091,0.72402,0.76028,0.72351,0.72339,0.85096,0.72524,0.85269,0.09281386002358573,0.09444260187457,0.09348433914029326,0.09751444284097166,0.09348433914029326,0.09751444284097166,0.09751444284097166,0.09080022011283996,0.09751444284097166,0.09080022011283996,-0.00472744467572689,-0.006748136447132285,-6.196096306428488e-6,-8.82984652345508e-5,-6.196096306432602e-6,-8.829846523454077e-5,-8.829846523454376e-5,0.01784384840247839,-8.829846523454376e-5,0.01784384840247839
1,0,1,0.25,0.25,0.1,0.25,0.1,105,105,105,105,105,105,105,linear,continuous,DIFF,H1,1.5,0.75034,0.72957,0.75915,0.72457,0.75859,0.72356,0.72308,0.85138,0.72571,0.85328,0.09296956965240746,0.09466135152278271,0.09371974483095083,0.09787631009345443,0.09371974483095083,0.09787631009345442,0.09787631009345443,0.09093021693524105,0.09787631009345443,0.09093021693524105,-0.0050363316773935,-0.007068262486067159,-6.584914223811873e-5,-5.554299897034908e-5,-6.584914223812145e-5,-5.55429989703383e-5,-5.554299897034121e-5,0.017902955582416395,-5.554299897034121e-5,0.017902955582416395
