K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,1.8,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0_1,0.5,0.02009,0.02006,0.02501,0.0254,0.02501,0.0254,0.023,0.04434,0.0254,0.04292,0.2176966689223149,0.2297576072035299,0.22435884379884288,0.2455701284906492,0.22435884379883406,0.2455701284906458,0.24557012849158047,0.20473569988646162,0.2455701284906458,0.20473569988528167,-0.02150416548923876,-0.02622141923366264,-0.004312716560019023,-0.003850604154058912,-0.004312716560020235,-0.003850604154059512,-0.0038506041538489168,0.049051554697135145,-0.0038506041540595152,0.04905155469684389
1,0.7,1,1.8,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0_1,0.5,0.02037,0.02067,0.02383,0.02528,0.02383,0.02528,0.02273,0.0437,0.02528,0.04252,0.2173407118606484,0.22895526043893874,0.22474461761261877,0.24586576186142683,0.22474461761261283,0.24586576186142417,0.2458657618623592,0.20450286481511418,0.24586576186142417,0.2045028648139411,-0.018501730088104476,-0.02171010921335613,-0.005526687728160987,-0.004802015029909932,-0.0055266877281616575,-0.004802015029910681,-0.004802015029711422,0.04794401498277517,-0.004802015029910687,0.04794401498249636
1,0.7,1,1.8,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0_1,0.5,0.02086,0.02095,0.02294,0.02472,0.02294,0.02472,0.0222,0.04281,0.02472,0.0414,0.21565419372967082,0.22701486825985095,0.22336200897559075,0.24490245368032973,0.22336200897558586,0.24490245368032776,0.24490245368126323,0.20324062976017632,0.24490245368032776,0.20324062975900023,-0.014318816605371829,-0.01652889744672649,-0.004979208675860162,-0.004325628037678745,-0.004979208675860712,-0.0043256280376793195,-0.004325628037472606,0.0481834804180443,-0.004325628037679325,0.048183480417760834
1,0.7,1,1.8,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0_1,0.5,0.02263,0.02243,0.02432,0.02492,0.02432,0.02492,0.02258,0.04447,0.02492,0.0431,0.21707231764516904,0.22787395536447594,0.22515091103138066,0.2462426374149965,0.22515091103137683,0.24624263741499472,0.24624263741593028,0.20510814584419057,0.24624263741499472,0.20510814584300824,-0.009935489509456845,-0.011268300678275485,-0.0046268108276897426,-0.004047758245683967,-0.004626810827690248,-0.004047758245684428,-0.004047758245479352,0.04854099382516969,-0.004047758245684434,0.04854099382488445
1,0.7,1,1.8,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0_1,0.5,0.02347,0.02425,0.02382,0.02552,0.02382,0.02552,0.02302,0.04403,0.02552,0.04261,0.21620262166075618,0.2278884017748967,0.22436665641753156,0.2464324306214615,0.22436665641752793,0.24643243062145984,0.2464324306224337,0.20432787002689762,0.24643243062145984,0.20432787002572386,-0.006832022531109462,-0.007114105251974721,-0.005246831270522127,-0.004942683933939909,-0.0052468312705223575,-0.004942683933940491,-0.004942683933746409,0.047617549798287466,-0.004942683933940492,0.04761754979801118
1,0.7,1,1.8,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0_1,0.5,0.02474,0.0256,0.02425,0.02567,0.02425,0.02567,0.02294,0.04389,0.02567,0.04253,0.21578042765057995,0.22665348032571672,0.22407664423382137,0.24532671157155944,0.22407664423381826,0.24532671157155858,0.2453267115724859,0.20421210330066447,0.24532671157155858,0.2042121032994834,-0.002577438417085766,-0.0016587562454564028,-0.004695112715294291,-0.004046431527889764,-0.004695112715294561,-0.004046431527889945,-0.004046431527681421,0.04821137449341624,-0.0040464315278899475,0.048211374493133105
1,0.7,1,1.8,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0_1,0.5,0.02587,0.02646,0.02441,0.02606,0.02441,0.02606,0.02362,0.04435,0.02606,0.0428,0.21595770427160013,0.22668271798698608,0.22438626678176024,0.24574078984871872,0.2243862667817579,0.2457407898487175,0.2457407898496818,0.20437834394457968,0.2457407898487175,0.20437834394340387,0.001297304976155672,0.0034691282038982045,-0.005050292111708411,-0.004458321729648951,-0.005050292111708752,-0.004458321729649432,-0.004458321729452706,0.04834345851516837,-0.004458321729649438,0.04834345851488582
1,0.7,1,1.8,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0_1,0.5,0.02578,0.02716,0.02348,0.02541,0.02348,0.02541,0.0229,0.04298,0.02541,0.04156,0.2147820275174454,0.22584054834793338,0.2233482008086315,0.24531151631259462,0.2233482008086299,0.24531151631259351,0.24531151631352796,0.20340867521711112,0.24531151631259351,0.20340867521593445,0.005156839668044543,0.007820612675295779,-0.004795721366874017,-0.0046483787924719066,-0.004795721366874214,-0.004648378792472019,-0.004648378792266187,0.047943666071304895,-0.0046483787924720245,0.04794366607102208
1,0.7,1,1.8,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0_1,0.5,0.028,0.02961,0.02471,0.02514,0.02471,0.02514,0.02285,0.04361,0.02514,0.04226,0.21577965983882377,0.22634834506580803,0.22423729367375725,0.24550644436423621,0.22423729367375572,0.24550644436423538,0.2455064443651718,0.20415309561160874,0.24550644436423538,0.20415309561043612,0.00981483768372397,0.013890809673446249,-0.004108848497905403,-0.003290656587591607,-0.00410884849790551,-0.0032906565875917507,-0.0032906565873845133,0.04883118776924696,-0.0032906565875917538,0.04883118776896174
1,0.7,1,1.8,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0_1,0.5,0.02964,0.03133,0.02475,0.02574,0.02475,0.02574,0.02345,0.04518,0.02574,0.04379,0.21564254427770965,0.22633128404773675,0.22418596500594098,0.2457928351771709,0.22418596500593976,0.24579283517717004,0.2457928351781595,0.2045956620729341,0.24579283517717004,0.20459566207175045,0.015132180072181846,0.020121792678926338,-0.003122126048922947,-0.002671343033031564,-0.003122126048923191,-0.0026713430330317736,-0.0026713430328285954,0.05002128303729601,-0.002671343033031777,0.0500212830370024
