K,p0,sigma,OR1,OR2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,trend_param,endpoint,N_peak,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_zsep,reject_h02_zpol,reject_h02_log_sep,reject_h02_log_pol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_zsep,rMSE_zpol,rMSE_log_sep,rMSE_log_pol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_zsep,bias_zpol,bias_log_sep,bias_log_pol
1,0.7,1,0.4,1,-0.2282587,-0.5,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01763,0.01725,0.0233,0.02452,0.0233,0.02452,0.02202,0.04404,0.02452,0.04243,0.21499127877266191,0.2243566967224205,0.2242251628390951,0.2458220846497026,0.2242251628390951,0.2458220846497026,0.24582208465063055,0.20394205597714546,0.2458220846497026,0.20394205597596043,-0.02927323939621727,-0.03430843549729049,-0.005871302760515393,-0.004816834957719325,-0.005871302760515394,-0.004816834957719319,-0.004816834957510894,0.04792087142250716,-0.004816834957719321,0.04792087142222324
1,0.7,1,0.4,1,-0.2282587,-0.4444444444444444,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.01924,0.01908,0.02415,0.02584,0.02415,0.02584,0.02325,0.04303,0.02584,0.04182,0.21423190143088666,0.22311691603015485,0.22369649188562887,0.2449832178456295,0.22369649188562887,0.2449832178456295,0.24498321784661006,0.20409062461891442,0.2449832178456295,0.2040906246177345,-0.023297028328242736,-0.02703092805047586,-0.005067302256233644,-0.0040250194695130226,-0.005067302256233642,-0.004025019469513009,-0.004025019469316719,0.0481824951201632,-0.004025019469512987,0.04818249511987812
1,0.7,1,0.4,1,-0.2282587,-0.3888888888888889,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.02044,0.02045,0.0247,0.02587,0.0247,0.02587,0.02342,0.04357,0.02587,0.04257,0.21329834141697288,0.2221990816685007,0.22394498799651777,0.24551939539833345,0.22394498799651777,0.24551939539833342,0.24551939539926174,0.2036349596791066,0.24551939539833345,0.20363495967792788,-0.01743097221673198,-0.020251413884031552,-0.0042546207463175344,-0.003390007940397627,-0.0042546207463175344,-0.003390007940397603,-0.0033900079401775816,0.04828854527188148,-0.003390007940397625,0.04828854527159231
1,0.7,1,0.4,1,-0.2282587,-0.33333333333333337,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.02211,0.022,0.02411,0.02553,0.02411,0.02553,0.02307,0.04404,0.02553,0.04254,0.21348055208740968,0.222060931294211,0.22443740361500789,0.24579354110064197,0.2244374036150079,0.24579354110064197,0.2457935411015745,0.2041837722974749,0.24579354110064194,0.20418377229629184,-0.01243495990950126,-0.014161030610523607,-0.005166571030988323,-0.004714449470891978,-0.005166571030988322,-0.004714449470892002,-0.0047144494706842215,0.04788042511477485,-0.0047144494708919885,0.04788042511449077
1,0.7,1,0.4,1,-0.2282587,-0.2777777777777778,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.02344,0.02377,0.02388,0.02574,0.02388,0.02574,0.02324,0.04501,0.02574,0.04354,0.21307891486617758,0.22124452381989915,0.22464485430077205,0.2464734023434803,0.22464485430077205,0.24647340234348028,0.24647340234441167,0.20487058924767493,0.2464734023434803,0.20487058924649626,-0.006710779598516285,-0.0073610371192743,-0.005002398902105277,-0.0046090362504564745,-0.0050023989021052775,-0.004609036250456496,-0.004609036250247632,0.04864732177327414,-0.004609036250456493,0.04864732177298583
1,0.7,1,0.4,1,-0.2282587,-0.2222222222222222,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.02435,0.02503,0.02393,0.02538,0.02393,0.02538,0.02299,0.04379,0.02538,0.04228,0.21282934011396684,0.2209525150433162,0.2245041233025118,0.2461390076488691,0.2245041233025118,0.24613900764886912,0.24613900764978738,0.20439271057257102,0.2461390076488691,0.20439271057139616,-0.0016692444871732684,-9.166629928342656e-4,-0.0052185683137813705,-0.004056369618453647,-0.005218568313781373,-0.004056369618453659,-0.004056369618236041,0.04846455285026211,-0.00405636961845364,0.04846455284997398
1,0.7,1,0.4,1,-0.2282587,-0.16666666666666669,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.02595,0.02704,0.02396,0.02559,0.02396,0.02559,0.0228,0.04435,0.02559,0.0427,0.2119141927233837,0.22015616643368222,0.22331882055388672,0.24428319118711325,0.22331882055388672,0.24428319118711322,0.2442831911880459,0.20420709248222593,0.24428319118711325,0.2042070924810569,0.004347427756773766,0.005926232096969198,-0.003921554665421125,-0.003126931536809543,-0.003921554665421124,-0.0031269315368094974,-0.0031269315366005096,0.048512056090593336,-0.0031269315368095173,0.04851205609030588
1,0.7,1,0.4,1,-0.2282587,-0.11111111111111116,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.02801,0.02855,0.02422,0.02573,0.02422,0.02573,0.02339,0.04416,0.02573,0.04285,0.21237344139323994,0.22043382072051437,0.22376906669754773,0.24532306627643885,0.22376906669754773,0.24532306627643885,0.2453230662773677,0.2040859849151522,0.24532306627643885,0.20408598491397553,0.009707894363840276,0.012422073342206469,-0.004323509007573567,-0.003407360534716312,-0.004323509007573569,-0.0034073605347162933,-0.0034073605345041886,0.04866517346385571,-0.0034073605347163063,0.04866517346356741
1,0.7,1,0.4,1,-0.2282587,-0.05555555555555558,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.02819,0.02974,0.02425,0.02586,0.02425,0.02586,0.02345,0.04282,0.02586,0.04135,0.21262322320106106,0.2204737973699603,0.22423677223392388,0.2453311446936008,0.22423677223392388,0.24533114469360082,0.2453311446945228,0.2040878063554339,0.24533114469360082,0.20408780635425924,0.014223816320772308,0.01781957776135661,-0.005345384589354855,-0.004949549810788236,-0.0053453845893548565,-0.004949549810788258,-0.004949549810581573,0.04818623578089978,-0.004949549810788267,0.04818623578061175
1,0.7,1,0.4,1,-0.2282587,0,-0.2282587,250,250,125,125,125,125,250,inv_u,mult,binary,125,DIFF,H0,0.5,0.03068,0.03257,0.024,0.02574,0.024,0.02574,0.02334,0.04333,0.02574,0.04211,0.2131342532723675,0.22093373903267888,0.22414128688874332,0.2452353080491491,0.22414128688874332,0.24523530804914911,0.24523530805006646,0.20413511251956487,0.24523530804914914,0.20413511251838987,0.018988955439478313,0.023576420252824713,-0.005883695140621502,-0.005441417928208364,-0.005883695140621501,-0.005441417928208334,-0.0054414179280034055,0.04752725666440831,-0.005441417928208341,0.047527256664125765
