K,mu0,sigma,delta1,delta2,lambda0,lambda1,lambda2,n0,n1,n01,n02,n11,n12,n22,trend,endpoint,timetrend,hypothesis,timing,reject_h02_a1,reject_h02_a2,reject_h02_a1_int,reject_h02_a2_int,reject_h02_b1,reject_h02_b2,reject_h02_tsep,reject_h02_tpol,reject_h02_zsep,reject_h02_zpol,rMSE_a1,rMSE_a2,rMSE_a1_int,rMSE_a2_int,rMSE_b1,rMSE_b2,rMSE_tsep,rMSE_tpol,rMSE_zsep,rMSE_zpol,bias_a1,bias_a2,bias_a1_int,bias_a2_int,bias_b1,bias_b2,bias_tsep,bias_tpol,bias_zsep,bias_zpol
1,0,1,0.25,0,0.1,0.15,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02215,0.02156,0.02476,0.02529,0.02485,0.02537,0.02528,0.04663,0.02554,0.04711,0.09601683339082945,0.10020268563557248,0.10016394659932346,0.10962042191492417,0.10016394659932346,0.10962042191492417,0.10962042191492417,0.0928695837746811,0.10962042191492417,0.0928695837746811,-0.004975878496604487,-0.005949033231486058,5.056160120996607e-5,3.95064178896213e-4,5.0561601209966196e-5,3.9506417889621255e-4,3.9506417889621467e-4,0.025140217672181005,3.9506417889621467e-4,0.025140217672181005
1,0,1,0.25,0,0.1,0.16,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02121,0.02123,0.0252,0.02487,0.02517,0.02474,0.0248,0.04595,0.0249,0.04627,0.09623956672828952,0.10046527787869797,0.1002259834273498,0.10953049174381864,0.1002259834273498,0.10953049174381864,0.10953049174381864,0.09261526805733195,0.10953049174381864,0.09261526805733195,-0.006954910459503964,-0.008407578750399965,-6.849645399653364e-4,-8.909016722868995e-4,-6.849645399653362e-4,-8.909016722868993e-4,-8.909016722868971e-4,0.02437361810364661,-8.909016722868971e-4,0.02437361810364661
1,0,1,0.25,0,0.1,0.17,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02064,0.02027,0.02441,0.02453,0.02432,0.0243,0.02432,0.04576,0.02412,0.04628,0.0961041921963294,0.10034273691633405,0.10006239275546193,0.10937526567113393,0.10006239275546193,0.10937526567113393,0.10937526567113393,0.09284734812000446,0.10937526567113393,0.09284734812000446,-0.007425163365235879,-0.00885611946581723,-2.210082618181376e-4,-6.33495893307886e-5,-2.2100826181813756e-4,-6.334958933078807e-5,-6.334958933078612e-5,0.02491414577926641,-6.334958933078612e-5,0.02491414577926641
1,0,1,0.25,0,0.1,0.18,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.02027,0.01949,0.02501,0.0254,0.02491,0.02537,0.02543,0.04609,0.02531,0.04638,0.0962371409506906,0.10048342513471396,0.10009517189589544,0.10953519675945901,0.10009517189589544,0.10953519675945901,0.10953519675945901,0.09263826375381674,0.10953519675945901,0.09263826375381674,-0.008660036494293446,-0.010490031815251906,-4.965934221985008e-4,-4.622308590239343e-4,-4.965934221985013e-4,-4.622308590239342e-4,-4.6223085902393233e-4,0.02470556264095924,-4.6223085902393233e-4,0.02470556264095924
1,0,1,0.25,0,0.1,0.19,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.01971,0.01901,0.02495,0.0249,0.02493,0.02499,0.025,0.04683,0.02504,0.04636,0.09642926216463214,0.10066785068568562,0.10030686070204496,0.10968511361174595,0.10030686070204496,0.10968511361174595,0.10968511361174595,0.0929242314324891,0.10968511361174595,0.0929242314324891,-0.00927961081603777,-0.011216133446923461,-6.200510927008823e-5,6.652909817117755e-5,-6.200510927008828e-5,6.652909817117719e-5,6.652909817117932e-5,0.025252154448688297,6.652909817117932e-5,0.025252154448688297
1,0,1,0.25,0,0.1,0.2,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.01951,0.01845,0.02533,0.02535,0.02559,0.0255,0.02552,0.04692,0.0256,0.04678,0.09653621147563192,0.10078913247594595,0.10021307045787778,0.10953957712648488,0.10021307045787778,0.10953957712648488,0.10953957712648488,0.09288241457791938,0.10953957712648488,0.09288241457791938,-0.00994071815133555,-0.012123763596941407,2.1052289085665444e-4,1.9995881504531948e-4,2.1052289085665428e-4,1.9995881504531916e-4,1.999588150453215e-4,0.02533685554657871,1.999588150453215e-4,0.02533685554657871
1,0,1,0.25,0,0.1,0.21,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.01865,0.01763,0.02486,0.02463,0.02469,0.02469,0.02479,0.04559,0.02459,0.04584,0.096365418681125,0.10066578350246813,0.10001460892286974,0.1093237391550166,0.10001460892286974,0.1093237391550166,0.1093237391550166,0.09262132880355278,0.1093237391550166,0.09262132880355278,-0.011268862977578465,-0.013774387185922108,1.4252983993031369e-4,3.392400248881525e-5,1.4252983993031263e-4,3.3924002488814516e-5,3.3924002488816827e-5,0.025051849509026065,3.3924002488816827e-5,0.025051849509026065
1,0,1,0.25,0,0.1,0.22,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.0179,0.0168,0.02492,0.02382,0.02471,0.02363,0.02366,0.04593,0.02384,0.046,0.09648005591370325,0.10074495666328645,0.09987977703348115,0.1090127238992174,0.09987977703348114,0.1090127238992174,0.1090127238992174,0.09276725678944128,0.1090127238992174,0.09276725678944128,-0.012176343113203135,-0.015010656943759063,1.8076133991442575e-4,1.1340829991548896e-4,1.8076133991442512e-4,1.1340829991548753e-4,1.1340829991549004e-4,0.025035142999373875,1.1340829991549004e-4,0.025035142999373875
1,0,1,0.25,0,0.1,0.23,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.01792,0.0171,0.0249,0.02564,0.02494,0.02566,0.02563,0.04746,0.02556,0.04726,0.09671442229246183,0.10134660760203568,0.10007055107521065,0.10941436141941234,0.10007055107521065,0.10941436141941234,0.10941436141941234,0.09292266692458981,0.10941436141941234,0.09292266692458981,-0.01291611045893331,-0.015751151028038934,4.7532133567888184e-4,4.464930109921217e-4,4.753213356788812e-4,4.4649301099212074e-4,4.46493010992123e-4,0.0255721706753327,4.46493010992123e-4,0.0255721706753327
1,0,1,0.25,0,0.1,0.24,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.0174,0.01632,0.02473,0.02485,0.02481,0.02514,0.02512,0.04641,0.02502,0.04678,0.09668462965459591,0.10118064483341146,0.09991408612239963,0.10927637913203672,0.09991408612239963,0.10927637913203672,0.10927637913203672,0.09265414967687036,0.10927637913203672,0.09265414967687036,-0.014146442156132555,-0.017078002319560606,2.4081967841637614e-4,5.143585044233342e-4,2.408196784163756e-4,5.143585044233326e-4,5.143585044233349e-4,0.02507158264972294,5.143585044233349e-4,0.02507158264972294
1,0,1,0.25,0,0.1,0.25,0.1,250,250,125,125,125,125,250,linear,continuous,DIFF,H0,0.5,0.01729,0.01632,0.02501,0.02544,0.02494,0.0254,0.02537,0.04647,0.0254,0.04642,0.09709343136164944,0.10169878341657376,0.10002585749802068,0.10934241353645006,0.10002585749802068,0.10934241353645006,0.10934241353645006,0.09290478390427517,0.10934241353645006,0.09290478390427517,-0.015150879066714383,-0.018341072584227097,4.33696408243334e-4,7.375420091443605e-4,4.3369640824333363e-4,7.375420091443593e-4,7.375420091443613e-4,0.025272171356271262,7.375420091443613e-4,0.025272171356271262
